player_id,inferred_home_region,unique_event_locations,unique_event_states,avg_travel_distance_miles,max_travel_distance_miles,pct_events_outside_home_region,traveling_competitor_label,travel_distance_confidence
10017751,TX,2,2,317.9875132686859,1195.8997688260442,0.15384615384615385,Multi-state competitor,approximate (city-level)
10051932,NJ,4,3,373.45584863225116,2538.476626598255,0.26666666666666666,Multi-state competitor,approximate (state-level)
10060842,NJ,5,3,11.744555338632427,85.60202770780705,0.24,Local grinder,approximate (state-level)
10099463,FL,4,3,999.8188860780083,1080.5473929811608,1.0,Tournament road warrior,approximate (city-level)
10164176,PA,16,8,72.77864639203553,680.9667056919851,0.16279069767441862,Regional traveler,approximate (state-level)
11466001,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
12065210,,2,2,,,,Insufficient location data,low
12420184,MA,4,2,1.7598267177964166,84.471682454228,0.020833333333333332,Local grinder,approximate (state-level)
12451516,SC,5,4,1291.0544056228946,2307.9488433378765,0.6,Tournament road warrior,approximate (city-level)
12479419,NY,2,2,87.08193463236022,348.32773852944086,0.25,Regional traveler,approximate (state-level)
12600678,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
12640800,NY,7,3,75.22855521080038,119.42189214754332,0.25925925925925924,Regional traveler,approximate (city-level)
12650696,CA,16,4,171.46778276605144,1859.2525477112008,0.1794871794871795,Multi-state competitor,approximate (city-level)
12662506,NJ,5,4,112.65497744891248,732.4389589394419,0.4444444444444444,Multi-state competitor,approximate (state-level)
12696378,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
12802899,CA,9,2,249.42942796399407,2285.6168644785694,0.043478260869565216,Multi-state competitor,approximate (city-level)
12820409,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
12833116,LA,0,0,,,,Insufficient location data,low
12836880,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
12893979,NY,2,2,116.48759553200956,199.30219659937993,0.05555555555555555,Multi-state competitor,approximate (city-level)
12894549,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
12907526,,2,2,,,,Insufficient location data,low
13011217,IA,10,4,1246.3652619845975,1561.6925600844609,0.9347826086956522,Tournament road warrior,approximate (city-level)
13041244,,1,1,,,,Insufficient location data,low
13137402,NY,3,2,660.5079624055174,2494.2456570089907,0.23076923076923078,Tournament road warrior,approximate (city-level)
13215196,MD,11,9,425.3569581913241,2327.132953084054,0.9230769230769231,Multi-state competitor,approximate (city-level)
13315303,CA,2,1,99.08651321019637,198.17302642039274,0.0,Regional traveler,approximate (city-level)
13377996,PA,6,2,68.4513523695738,2395.797332935083,0.02857142857142857,Regional traveler,approximate (state-level)
13507472,TX,1,1,158.36710316734803,158.36710316734803,0.0,Multi-state competitor,approximate (city-level)
13589163,NJ,4,4,170.5956386602086,955.7763401963881,0.5,Multi-state competitor,approximate (state-level)
13688407,NY,2,2,110.46539764797811,111.61614841039955,0.2,Multi-state competitor,approximate (city-level)
13750498,NJ,7,3,2240.8384621687114,2545.076632208026,1.0,Tournament road warrior,approximate (city-level)
13871294,NJ,8,7,288.0976279875114,2203.4267181661617,0.9411764705882353,Multi-state competitor,approximate (city-level)
14117181,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
14160065,NJ,6,4,1369.5540420502205,2442.272703272797,1.0,Tournament road warrior,approximate (city-level)
14176605,NY,3,2,110.99187002869051,115.1861371399849,0.045454545454545456,Multi-state competitor,approximate (city-level)
14243948,NY,2,1,22.32322968207991,111.61614841039955,0.0,Local grinder,approximate (state-level)
14247791,NY,1,1,0.0,0.0,0.0,Local grinder,approximate (state-level)
14337717,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
14345153,NY,5,3,141.52393766638275,287.78304554891827,0.5,Multi-state competitor,approximate (city-level)
14377480,NY,2,2,112.90035822975572,130.87929570074223,0.06666666666666667,Multi-state competitor,approximate (city-level)
14490864,NJ,3,2,39.734650929035,50.17631486435805,0.85,Regional traveler,approximate (city-level)
14668233,FL,15,4,108.01623983778454,981.2665220835512,0.08823529411764706,Multi-state competitor,approximate (state-level)
14696058,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
14708493,NJ,1,1,37.55367542180409,37.55367542180409,0.0,Regional traveler,approximate (city-level)
14737573,TX,14,3,211.1401751450816,1471.4998830442617,0.11627906976744186,Multi-state competitor,approximate (city-level)
14793323,TX,3,1,56.4855142666641,125.58671899335448,0.0,Regional traveler,approximate (city-level)
