Feature,Coefficient
player_pre_rating,0.09551420398696837
opponent_pre_rating,0.35700348539724425
time_control_Mixed,0.3154271994097523
time_control_Quick,0.2725639174818908
time_control_Regular,0.1812072285131511
Intercept,-0.4229358029579651
