Split,Accuracy,Precision,Recall,F1,ROC-AUC
Train,0.6762820512820513,0.6761229314420804,0.5171790235081374,0.5860655737704918,0.7448840204509087
Validation,0.5955056179775281,0.5923076923076923,0.5833333333333334,0.5877862595419847,0.6556677890011223
Test,0.6194029850746269,0.625,0.5681818181818182,0.5952380952380952,0.6410149286987523
