Split,Accuracy,Precision,Recall,F1,ROC-AUC
Train,0.8677884615384616,0.8943089430894309,0.7956600361663653,0.8421052631578947,0.9460991062484551
Validation,0.6441947565543071,0.6504065040650406,0.6060606060606061,0.6274509803921569,0.6896464646464646
Test,0.5746268656716418,0.5703125,0.553030303030303,0.5615384615384615,0.5889594474153298
