Split,Accuracy,Precision,Recall,F1,ROC-AUC
Train,0.5857371794871795,0.5927835051546392,0.20795660036166366,0.3078982597054886,0.5668752520587509
Validation,0.5617977528089888,0.7027027027027027,0.19696969696969696,0.3076923076923077,0.5419753086419753
Test,0.5485074626865671,0.7037037037037037,0.14393939393939395,0.2389937106918239,0.5690173796791443
