Split,Accuracy,Precision,Recall,F1,ROC-AUC
Train,0.6001602564102564,0.5706806282722513,0.39421338155515373,0.4663101604278075,0.6148620344230945
Validation,0.5805243445692884,0.6041666666666666,0.4393939393939394,0.5087719298245614,0.625280583613917
Test,0.5559701492537313,0.5656565656565656,0.42424242424242425,0.48484848484848486,0.5970086898395721
