Split,Accuracy,Precision,Recall,F1,ROC-AUC
Train,0.8910256410256411,0.8911819887429644,0.8589511754068716,0.8747697974217311,0.9705022961739107
Validation,0.6217228464419475,0.6220472440944882,0.5984848484848485,0.61003861003861,0.6845117845117845
Test,0.5970149253731343,0.6052631578947368,0.5227272727272727,0.5609756097560976,0.6158366755793226
